Latest_Cracking_ratio,Latest_Rutting_max,Latest_Condition_Year,Section_Length,Pavement_Width,Latest_Pavement_type,Road_Category_ID,Road_Class_ID,TV_Total,TV_Heavy,Region,Route_ID,det_no_c,det_no_r
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.54,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.02,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,7.58,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.32,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,7.22,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,15,6.533333333,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,5.08,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.2,1,1,3,6013.5,1560,1,101001000,2,2
0,6,2012,100,6.36,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.24,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.32,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.22,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,50,6.54,1,1,1,6013.5,1560,1,101001000,2,2
2.8,9,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.12,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,7.06,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.02,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,18,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,5,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,16,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0.8,15,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
20.6,19,2012,100,6.98,1,1,3,6013.5,1560,1,101001000,2,2
2.5,11,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
8,10,2012,100,7.16,1,1,3,6013.5,1560,1,101001000,2,2
7.6,10,2012,100,7.24,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,5,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
1,9,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.48,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,7.6,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.6,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.54,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,7.52,1,1,3,6013.5,1560,1,101001000,2,2
